Episode,Gamma,Tolerances,Initial Policy,Average time,Average reward
5000,0.7,0.1,2,1171.838858949314,0.5839399999999999
10000,0.7,0.1,2,1178.563669638809,0.5840879999999998
100,0.7,0.1,3,1194.8880549754801,0.5977999999999999
500,0.7,0.1,3,1185.6987796716883,0.5851199999999999
1000,0.7,0.1,3,1185.2019531293486,0.5840199999999999
5000,0.7,0.1,3,1187.0252245725133,0.5839399999999999
10000,0.7,0.1,3,1193.7749412405872,0.5840879999999998
100,0.7,0.1,4,1210.2327044659103,0.5977999999999999
500,0.7,0.1,4,1200.92053074184,0.5851199999999999
1000,0.7,0.1,4,1200.4064324829237,0.5840199999999999
5000,0.7,0.1,4,1202.1814795667742,0.5839399999999999
10000,0.7,0.1,4,1208.884975038992,0.5840879999999998
100,0.7,0.05,0,1225.4964323583893,0.5977999999999999
500,0.7,0.05,0,1216.064568082009,0.5851199999999999
1000,0.7,0.05,0,1215.5365969315812,0.5840199999999999
5000,0.7,0.05,0,1217.2958756443272,0.5839399999999999
10000,0.7,0.05,0,1223.9862666765855,0.5840879999999998
100,0.7,0.05,1,1240.7395960071597,0.5977999999999999
500,0.7,0.05,1,1231.1876556721597,0.5851199999999999
1000,0.7,0.05,1,1230.6444514110358,0.5840199999999999
5000,0.7,0.05,1,1232.3879679872884,0.5839399999999999
10000,0.7,0.05,1,1239.064755282053,0.5840879999999998
100,0.7,0.05,2,1255.95494723175,0.5977999999999999
500,0.7,0.05,2,1246.2827944975895,0.5851199999999999
1000,0.7,0.05,2,1245.7262196905717,0.5840199999999999
5000,0.7,0.05,2,1247.4600047477636,0.5839399999999999
10000,0.7,0.05,2,1254.1467899575862,0.5840879999999998
100,0.7,0.05,3,1271.1982971225405,0.5977999999999999
500,0.7,0.05,3,1261.40528563349,0.5851199999999999
1000,0.7,0.05,3,1260.8310514989973,0.5840199999999999
5000,0.7,0.05,3,1262.5515028340408,0.5839399999999999
10000,0.7,0.05,3,1269.251641795221,0.5840879999999998
100,0.7,0.05,4,1286.46365225719,0.5977999999999999
500,0.7,0.05,4,1276.5491350712632,0.5851199999999999
1000,0.7,0.05,4,1275.9603834593224,0.5840199999999999
5000,0.7,0.05,4,1277.672411189409,0.5839399999999999
10000,0.7,0.05,4,1284.3671821459661,0.5840879999999998
100,0.7,0.01,0,1301.7200446588101,0.5977999999999999
500,0.7,0.01,0,1291.6857031045847,0.5851199999999999
1000,0.7,0.01,0,1291.0812040120943,0.5840199999999999
5000,0.7,0.01,0,1292.7815747305772,0.5839399999999999
10000,0.7,0.01,0,1299.470086302476,0.5840879999999998
100,0.7,0.01,1,1316.9719139375402,0.5977999999999999
500,0.7,0.01,1,1306.8156161180034,0.5851199999999999
1000,0.7,0.01,1,1306.1949167789442,0.5840199999999999
5000,0.7,0.01,1,1307.8864318773053,0.5839399999999999
10000,0.7,0.01,1,1314.5748553122758,0.5840879999999998
100,0.7,0.01,2,1332.2268593104695,0.5977999999999999
500,0.7,0.01,2,1321.9514190125292,0.5851199999999999
1000,0.7,0.01,2,1321.3196719553778,0.5840199999999999
5000,0.7,0.01,2,1322.9929566732676,0.5839399999999999
10000,0.7,0.01,2,1329.6825875911024,0.5840879999999998
100,0.7,0.01,3,1347.4838328913509,0.5977999999999999
500,0.7,0.01,3,1337.0885273327376,0.5851199999999999
1000,0.7,0.01,3,1336.440812436045,0.5840199999999999
5000,0.7,0.01,3,1338.1079526152068,0.5839399999999999
10000,0.7,0.01,3,1344.7870235374703,0.5840879999999998
100,0.7,0.01,4,1362.73239010258,0.5977999999999999
500,0.7,0.01,4,1352.2147608552473,0.5851199999999999
1000,0.7,0.01,4,1351.5508503135404,0.5840199999999999
5000,0.7,0.01,4,1353.2023212083989,0.5839399999999999
10000,0.7,0.01,4,1359.8907133908715,0.5840879999999998
100,0.7,0.005,0,1377.99741236467,0.5977999999999999
500,0.7,0.005,0,1367.3588514748067,0.5851199999999999
1000,0.7,0.005,0,1366.680264062001,0.5840199999999999
5000,0.7,0.005,0,1368.3188883277694,0.5839399999999999
10000,0.7,0.005,0,1375.0035968348195,0.5840879999999998
100,0.7,0.005,1,1393.25215285134,0.5977999999999999
500,0.7,0.005,1,1382.4927338960094,0.5851199999999999
1000,0.7,0.005,1,1381.799194734536,0.5840199999999999
5000,0.7,0.005,1,1383.4279747160372,0.5839399999999999
10000,0.7,0.005,1,1390.122076681919,0.5840879999999998
100,0.7,0.005,2,1408.5348960855104,0.5977999999999999
500,0.7,0.005,2,1397.6541895509213,0.5851199999999999
