Episode,Gamma,Episode Length,Average time,Average reward
15000,0.75,60,705431.2540050142,-0.0347653333333335
20000,0.75,60,705430.0927951207,0.004985999999999837
25000,0.75,60,705436.1775660658,0.04448719999999986
30000,0.75,60,705446.5706912269,0.08751799999999986
35000,0.75,60,705460.3518734643,0.1274862857142856
40000,0.75,60,705476.8668415259,0.1576769999999999
45000,0.75,60,705495.480546538,0.18106133333333327
50000,0.75,60,705516.1985272251,0.19865559999999993
1000,0.75,70,706218.080891095,-0.5099800000000004
5000,0.75,70,705656.1365589323,-0.04973200000000021
10000,0.75,70,705590.4780423802,0.08851799999999985
15000,0.75,70,705574.0200575413,0.1605573333333332
20000,0.75,70,705571.1827727733,0.20885199999999987
25000,0.75,70,705574.7370965861,0.2410031999999999
30000,0.75,70,705582.3682754248,0.26285999999999987
35000,0.75,70,705593.103787341,0.2781542857142856
40000,0.75,70,705606.2199347696,0.29184299999999985
45000,0.75,70,705621.6782742974,0.30187377777777763
50000,0.75,70,705639.2811239249,0.30945279999999986
1000,0.75,80,706340.1394143302,-0.4638600000000003
5000,0.75,80,705778.2723037292,-0.24360000000000032
10000,0.75,80,705713.8609080625,-0.15165400000000026
