Episode,Gamma,Alpha,Epsilon,Average time,Average reward
5000,0.75,0.1,1.0,373894.2869769099,0.38155999999999984
8000,0.75,0.1,1.0,373870.5695911393,0.4475024999999998
9000,0.75,0.1,1.0,373870.7821687299,0.4603288888888888
10000,0.75,0.1,1.0,373872.6109453956,0.47011999999999987
100,0.75,0.15,0.7,377576.542804395,-2.3269999999999995
500,0.75,0.15,0.7,374586.3505178376,-0.6518800000000003
1000,0.75,0.15,0.7,374213.4574887007,-0.15914000000000028
2000,0.75,0.15,0.7,374028.0815628695,0.10016999999999973
5000,0.75,0.15,0.7,373919.0293306538,0.2835999999999998
8000,0.75,0.15,0.7,373896.3675515293,0.32838999999999974
9000,0.75,0.15,0.7,373897.9384277651,0.3367377777777775
10000,0.75,0.15,0.7,373901.3069837675,0.34153999999999973
100,0.75,0.15,0.75,377606.4945220893,-2.303
500,0.75,0.15,0.75,374616.0808220458,-0.7556000000000004
1000,0.75,0.15,0.75,374243.1714318075,-0.21160000000000037
2000,0.75,0.15,0.75,374057.8013421396,0.06305999999999966
5000,0.75,0.15,0.75,373948.797869101,0.2480759999999997
8000,0.75,0.15,0.75,373926.29345119296,0.2857699999999997
9000,0.75,0.15,0.75,373928.2588450553,0.29197999999999974
10000,0.75,0.15,0.75,373932.08505443466,0.3063659999999997
100,0.75,0.15,0.8,377637.7394215901,-2.337400000000001
500,0.75,0.15,0.8,374647.0665801977,-0.6621200000000006
1000,0.75,0.15,0.8,374274.10707369796,-0.1540200000000004
2000,0.75,0.15,0.8,374088.68058561144,0.09917999999999969
5000,0.75,0.15,0.8,373979.5944245065,0.3002719999999997
8000,0.75,0.15,0.8,373956.5936430838,0.3835924999999997
9000,0.75,0.15,0.8,373957.56186734734,0.3969199999999997
10000,0.75,0.15,0.8,373960.18910802953,0.4084319999999997
100,0.75,0.15,0.85,377665.3460589618,-2.2096
500,0.75,0.15,0.85,374674.44985420775,-0.7824000000000004
1000,0.75,0.15,0.85,374301.4943100737,-0.21468000000000034
2000,0.75,0.15,0.85,374116.071832638,0.09112999999999971
5000,0.75,0.15,0.85,374006.854213993,0.3287759999999998
8000,0.75,0.15,0.85,373983.55926886125,0.4133424999999997
9000,0.75,0.15,0.85,373984.3005799809,0.4294755555555554
10000,0.75,0.15,0.85,373987.09800694743,0.44254999999999983
100,0.75,0.15,0.9,377692.52280493034,-2.4008
500,0.75,0.15,0.9,374701.3969357343,-0.6894800000000001
1000,0.75,0.15,0.9,374328.3153778893,-0.09174000000000018
2000,0.75,0.15,0.9,374142.6378878093,0.22336999999999982
5000,0.75,0.15,0.9,374032.99172460724,0.4350119999999999
8000,0.75,0.15,0.9,374009.5217210227,0.4871349999999999
9000,0.75,0.15,0.9,374009.4334397413,0.49656444444444425
10000,0.75,0.15,0.9,374010.8959204638,0.5034419999999998
100,0.75,0.15,0.95,377716.11273749126,-2.1302000000000003
